id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,search_type,lookup_latency,llc_miss,dtlb_miss,branch_miss,instructions,table_size
20240919111837,0.5,0.5,0,0,0,../datasets/books,alex,2172364,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,4185863773,0,0,0,0,200000000
20240919112054,0.5,0.5,0,0,0,../datasets/books,alex,1959615,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,23241279,0,0,0,0,200000000
20240919112153,0.5,0.5,0,0,0,../datasets/books,alex,1075088,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bin,63392178,0,0,0,0,200000000
20240919112251,0.5,0.5,0,0,0,../datasets/books,alex,910002,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bbin,82153497,0,0,0,0,200000000
20240919112350,0.5,0.5,0,0,0,../datasets/books,alex,876381,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,86336780,0,0,0,0,200000000
20240919112448,0.5,0.5,0,0,0,../datasets/books,alex,1858682,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,25159228,0,0,0,0,200000000
20240919112555,0.5,0.5,0,0,0,../datasets/books,alex,11733,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,slin,8478396993,0,0,0,0,200000000
20240919112654,0.5,0.5,0,0,0,../datasets/books,alex,1727541,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_slin,29366866,0,0,0,0,200000000
20240919112752,0.5,0.5,0,0,0,../datasets/books,alex,2018169,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_slin,19964179,0,0,0,0,200000000
20240919112935,0.5,0.5,0,0,0,../datasets/fb,alex,868081,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,37443741,0,0,0,0,200000000
20240919113114,0.5,0.5,0,0,0,../datasets/fb,alex,694496,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bin,64187984,0,0,0,0,200000000
20240919113253,0.5,0.5,0,0,0,../datasets/fb,alex,624022,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bbin,82224953,0,0,0,0,200000000
20240919113433,0.5,0.5,0,0,0,../datasets/fb,alex,603175,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,87130378,0,0,0,0,200000000
20240919113613,0.5,0.5,0,0,0,../datasets/fb,alex,883533,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,33547339,0,0,0,0,200000000
20240919113757,0.5,0.5,0,0,0,../datasets/fb,alex,19814,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,slin,4947364089,0,0,0,0,200000000
20240919113936,0.5,0.5,0,0,0,../datasets/fb,alex,820584,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_slin,42144542,0,0,0,0,200000000
20240919114116,0.5,0.5,0,0,0,../datasets/fb,alex,842253,100000000,8090853768,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_slin,38302430,0,0,0,0,200000000
20240919114254,0.5,0.5,0,0,0,../datasets/osm,alex,268178,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,36832816,0,0,0,0,200000000
20240919114429,0.5,0.5,0,0,0,../datasets/osm,alex,247903,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bin,64392717,0,0,0,0,200000000
20240919114604,0.5,0.5,0,0,0,../datasets/osm,alex,237673,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bbin,81081295,0,0,0,0,200000000
20240919114738,0.5,0.5,0,0,0,../datasets/osm,alex,241624,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,76288989,0,0,0,0,200000000
20240919114913,0.5,0.5,0,0,0,../datasets/osm,alex,267382,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,36637396,0,0,0,0,200000000
20240919115049,0.5,0.5,0,0,0,../datasets/osm,alex,105289,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,slin,596188186,0,0,0,0,200000000
20240919115224,0.5,0.5,0,0,0,../datasets/osm,alex,257997,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_slin,43511818,0,0,0,0,200000000
20240919115359,0.5,0.5,0,0,0,../datasets/osm,alex,264136,100000000,8196200552,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_slin,36364141,0,0,0,0,200000000
20240919115424,0.5,0.5,0,0,0,../datasets/wiki,alex,2261695,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,21041009,0,0,0,0,90437011
20240919115446,0.5,0.5,0,0,0,../datasets/wiki,alex,1225859,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bin,57005393,0,0,0,0,90437011
20240919115509,0.5,0.5,0,0,0,../datasets/wiki,alex,980061,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bbin,78791963,0,0,0,0,90437011
20240919115531,0.5,0.5,0,0,0,../datasets/wiki,alex,1060559,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,71072317,0,0,0,0,90437011
20240919115554,0.5,0.5,0,0,0,../datasets/wiki,alex,2104777,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,23379622,0,0,0,0,90437011
20240919115627,0.5,0.5,0,0,0,../datasets/wiki,alex,9293,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,slin,10719467440,0,0,0,0,90437011
20240919115649,0.5,0.5,0,0,0,../datasets/wiki,alex,1943115,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_slin,27166632,0,0,0,0,90437011
20240919115711,0.5,0.5,0,0,0,../datasets/wiki,alex,2243340,45218505,3645897896,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_slin,18972315,0,0,0,0,90437011
