id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,leaf_time,fk_time,pred_time,search_time
20240906142616,0.5,0.5,0,0,0,../datasets/books,alex,1582076,10000000,409530672,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,317272138,6455062972,199255098,5418766391
20240906142642,0.5,0.5,0,0,0,../datasets/fb,alex,1280729,10000000,497379280,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,2076188913,5497164582,199508870,3803006221
20240906142709,0.5,0.5,0,0,0,../datasets/osm,alex,1249270,10000000,494901248,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,2133387496,5712229679,199200690,4029356248
20240906142724,0.5,0.5,0,0,0,../datasets/wiki,alex,1669997,8146148,363860624,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,16292296,705629836,4582974086,162577656,3511048846
