id,dataset,throughput,init_table_size,memory_consumption,search_type,llc_miss,dtlb_miss,branch_miss,instructions,table_size,density
2.02409E+13,books,429605,100000000,8062818008,exponential,189406954,0,0,0,200000000,0.2
2.02409E+13,books,428176,100000000,5375183200,exponential,189900009,0,0,0,200000000,0.3
2.02409E+13,books,430584,100000000,4031432320,exponential,190425228,0,0,0,200000000,0.4
2.02409E+13,books,427575,100000000,3225172664,exponential,191102245,0,0,0,200000000,0.5
2.02409E+13,books,421501,100000000,2687670560,exponential,191854573,0,0,0,200000000,0.6
2.02409E+13,books,427017,100000000,2303886464,exponential,192866686,0,0,0,200000000,0.7
2.02409E+13,books,283448,100000000,8062818008,mb_bbin,238269550,0,0,0,200000000,0.2
2.02409E+13,books,281340,100000000,5375183200,mb_bbin,239350987,0,0,0,200000000,0.3
2.02409E+13,books,281208,100000000,4031432320,mb_bbin,238703567,0,0,0,200000000,0.4
2.02409E+13,books,284426,100000000,3225172664,mb_bbin,239463428,0,0,0,200000000,0.5
2.02409E+13,books,283768,100000000,2687670560,mb_bbin,239010257,0,0,0,200000000,0.6
2.02409E+13,books,290928,100000000,2303886464,mb_bbin,236579907,0,0,0,200000000,0.7
2.02409E+13,books,414459,100000000,8062818008,ex_mb_bbin,223005953,0,0,0,200000000,0.2
2.02409E+13,books,416739,100000000,5375183200,ex_mb_bbin,223333135,0,0,0,200000000,0.3
2.02409E+13,books,432341,100000000,4031432320,ex_mb_bbin,223618236,0,0,0,200000000,0.4
2.02409E+13,books,426443,100000000,3225172664,ex_mb_bbin,224004213,0,0,0,200000000,0.5
2.02409E+13,books,429569,100000000,2687670560,ex_mb_bbin,224458553,0,0,0,200000000,0.6
2.02409E+13,books,430925,100000000,2303886464,ex_mb_bbin,225066736,0,0,0,200000000,0.7
2.02409E+13,books,379887,100000000,8062818008,mb_slin,240990983,0,0,0,200000000,0.2
2.02409E+13,books,382788,100000000,5375183200,mb_slin,241085862,0,0,0,200000000,0.3
2.02409E+13,books,383722,100000000,4031432320,mb_slin,241185661,0,0,0,200000000,0.4
2.02409E+13,books,388307,100000000,3225172664,mb_slin,241308796,0,0,0,200000000,0.5
2.02409E+13,books,390011,100000000,2687670560,mb_slin,241491821,0,0,0,200000000,0.6
2.02409E+13,books,392180,100000000,2303886464,mb_slin,241839062,0,0,0,200000000,0.7
2.02409E+13,books,418967,100000000,8062818008,ex_mb_slin,255861572,0,0,0,200000000,0.2
2.02409E+13,books,418242,100000000,5375183200,ex_mb_slin,256253286,0,0,0,200000000,0.3
2.02409E+13,books,419399,100000000,4031432320,ex_mb_slin,256731434,0,0,0,200000000,0.4
