id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,leaf_time,fk_time,pred_time,search_time
20240909142624,0.5,0.5,0,0,0,../datasets/books,alex,17685,100000000,4097356400,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,17215363620,11195461915569,2130317308,11173893378248
20240909143239,0.5,0.5,0,0,0,../datasets/fb,alex,758445,100000000,4753330480,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,43949440248,87505050432,2131137652,69687712223
20240909143850,0.5,0.5,0,0,0,../datasets/osm,alex,754194,100000000,4578440720,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,33096352832,125771039756,2168805201,107622410012
20240909143958,0.5,0.5,0,0,0,../datasets/wiki,alex,2452446,45218505,1887472816,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,90437011,3383347912,10297226567,963547058,4664516043
