id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,search_type,lookup_latency,llc_miss,dtlb_miss,branch_miss,instructions,table_size
20240919135738,0.5,0.5,0,0,0,../datasets/books,alex,1927646,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,22565035,0,0,0,0,200000000
20240919135840,0.5,0.5,0,0,0,../datasets/books,alex,1167794,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bin,55609831,0,0,0,0,200000000
20240919135941,0.5,0.5,0,0,0,../datasets/books,alex,987861,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bbin,72305000,0,0,0,0,200000000
20240919140043,0.5,0.5,0,0,0,../datasets/books,alex,859962,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,87333805,0,0,0,0,200000000
20240919140144,0.5,0.5,0,0,0,../datasets/books,alex,1884738,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,23123315,0,0,0,0,200000000
20240919140254,0.5,0.5,0,0,0,../datasets/books,alex,11496,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,slin,8649678242,0,0,0,0,200000000
20240919140355,0.5,0.5,0,0,0,../datasets/books,alex,1720593,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_slin,28399729,0,0,0,0,200000000
20240919140456,0.5,0.5,0,0,0,../datasets/books,alex,1983285,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_slin,19535220,0,0,0,0,200000000
20240919140650,0.5,0.5,0,0,0,../datasets/fb,alex,14815,100000000,3374699984,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,45820635,0,0,0,0,200000000
20240919140844,0.5,0.5,0,0,0,../datasets/fb,alex,14697,100000000,3374699984,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bin,57475859,0,0,0,0,200000000
20240919141037,0.5,0.5,0,0,0,../datasets/fb,alex,14816,100000000,3374699984,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,bbin,69207610,0,0,0,0,200000000
20240919141231,0.5,0.5,0,0,0,../datasets/fb,alex,14786,100000000,3374699984,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,68123960,0,0,0,0,200000000
20240919141424,0.5,0.5,0,0,0,../datasets/fb,alex,14845,100000000,3374699984,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,41077226,0,0,0,0,200000000
20240919141618,0.5,0.5,0,0,0,../datasets/fb,alex,14361,100000000,3374699984,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,slin,167726529,0,0,0,0,200000000
