id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,search_type,lookup_latency,llc_miss,dtlb_miss,branch_miss,instructions,table_size
20240919163609,1,0,0,0,0,../datasets/books,alex,416483,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,404198,0,0,0,200000000
20240919163707,1,0,0,0,0,../datasets/books,alex,437488,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,206667,0,0,0,200000000
20240919163805,1,0,0,0,0,../datasets/books,alex,441087,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,1305201,0,0,0,200000000
20240919163903,1,0,0,0,0,../datasets/books,alex,429605,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,189406954,0,0,0,200000000
20240919164001,1,0,0,0,0,../datasets/books,alex,420205,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,391912,0,0,0,200000000
20240919164058,1,0,0,0,0,../datasets/books,alex,440001,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,204492,0,0,0,200000000
20240919164156,1,0,0,0,0,../datasets/books,alex,442342,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,1424732,0,0,0,200000000
20240919164253,1,0,0,0,0,../datasets/books,alex,428176,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,189900009,0,0,0,200000000
20240919164352,1,0,0,0,0,../datasets/books,alex,427140,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,396755,0,0,0,200000000
20240919164452,1,0,0,0,0,../datasets/books,alex,449260,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,204809,0,0,0,200000000
20240919164551,1,0,0,0,0,../datasets/books,alex,441815,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,1349450,0,0,0,200000000
20240919164651,1,0,0,0,0,../datasets/books,alex,430584,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,190425228,0,0,0,200000000
20240919164752,1,0,0,0,0,../datasets/books,alex,427645,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,424614,0,0,0,200000000
20240919164853,1,0,0,0,0,../datasets/books,alex,436033,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,204795,0,0,0,200000000
20240919164954,1,0,0,0,0,../datasets/books,alex,440040,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,1493251,0,0,0,200000000
20240919165055,1,0,0,0,0,../datasets/books,alex,427575,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,191102245,0,0,0,200000000
20240919165200,1,0,0,0,0,../datasets/books,alex,418282,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,459980,0,0,0,200000000
20240919165306,1,0,0,0,0,../datasets/books,alex,441594,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,205722,0,0,0,200000000
20240919165411,1,0,0,0,0,../datasets/books,alex,446150,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,1463528,0,0,0,200000000
20240919165516,1,0,0,0,0,../datasets/books,alex,421501,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,191854573,0,0,0,200000000
20240919165623,1,0,0,0,0,../datasets/books,alex,419765,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,494657,0,0,0,200000000
20240919165730,1,0,0,0,0,../datasets/books,alex,440389,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,210154,0,0,0,200000000
20240919165837,1,0,0,0,0,../datasets/books,alex,438255,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,1424109,0,0,0,200000000
20240919165945,1,0,0,0,0,../datasets/books,alex,427017,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,exponential,0,192866686,0,0,0,200000000
20240919170043,1,0,0,0,0,../datasets/books,alex,281731,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1681234,0,0,0,200000000
20240919170141,1,0,0,0,0,../datasets/books,alex,289036,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1015311,0,0,0,200000000
20240919170239,1,0,0,0,0,../datasets/books,alex,289013,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1541444,0,0,0,200000000
20240919170337,1,0,0,0,0,../datasets/books,alex,283448,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,238269550,0,0,0,200000000
20240919170435,1,0,0,0,0,../datasets/books,alex,281132,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1689386,0,0,0,200000000
20240919170533,1,0,0,0,0,../datasets/books,alex,286796,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1080973,0,0,0,200000000
20240919170631,1,0,0,0,0,../datasets/books,alex,285005,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1392597,0,0,0,200000000
20240919170729,1,0,0,0,0,../datasets/books,alex,281340,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,239350987,0,0,0,200000000
20240919170829,1,0,0,0,0,../datasets/books,alex,281439,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1668908,0,0,0,200000000
20240919170929,1,0,0,0,0,../datasets/books,alex,288570,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1050211,0,0,0,200000000
20240919171029,1,0,0,0,0,../datasets/books,alex,287300,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1446650,0,0,0,200000000
20240919171128,1,0,0,0,0,../datasets/books,alex,281208,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,238703567,0,0,0,200000000
20240919171230,1,0,0,0,0,../datasets/books,alex,276583,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1735621,0,0,0,200000000
20240919171331,1,0,0,0,0,../datasets/books,alex,285743,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1069634,0,0,0,200000000
20240919171433,1,0,0,0,0,../datasets/books,alex,284013,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1549787,0,0,0,200000000
20240919171534,1,0,0,0,0,../datasets/books,alex,284426,100000000,3225172664,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,239463428,0,0,0,200000000
20240919171639,1,0,0,0,0,../datasets/books,alex,280645,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1690024,0,0,0,200000000
20240919171745,1,0,0,0,0,../datasets/books,alex,287383,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1033474,0,0,0,200000000
20240919171850,1,0,0,0,0,../datasets/books,alex,289822,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1455268,0,0,0,200000000
20240919171956,1,0,0,0,0,../datasets/books,alex,283768,100000000,2687670560,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,239010257,0,0,0,200000000
20240919172103,1,0,0,0,0,../datasets/books,alex,283738,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1624621,0,0,0,200000000
20240919172211,1,0,0,0,0,../datasets/books,alex,292666,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,926171,0,0,0,200000000
20240919172318,1,0,0,0,0,../datasets/books,alex,299731,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,1357105,0,0,0,200000000
20240919172425,1,0,0,0,0,../datasets/books,alex,290928,100000000,2303886464,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,mb_bbin,0,236579907,0,0,0,200000000
20240919172523,1,0,0,0,0,../datasets/books,alex,418957,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,388477,0,0,0,200000000
20240919172621,1,0,0,0,0,../datasets/books,alex,424664,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,200400,0,0,0,200000000
20240919172719,1,0,0,0,0,../datasets/books,alex,431564,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,1408371,0,0,0,200000000
20240919172817,1,0,0,0,0,../datasets/books,alex,414459,100000000,8062818008,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,223005953,0,0,0,200000000
20240919172915,1,0,0,0,0,../datasets/books,alex,411245,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,383178,0,0,0,200000000
20240919173012,1,0,0,0,0,../datasets/books,alex,434576,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,194514,0,0,0,200000000
20240919173110,1,0,0,0,0,../datasets/books,alex,434646,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,1399618,0,0,0,200000000
20240919173208,1,0,0,0,0,../datasets/books,alex,416739,100000000,5375183200,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,223333135,0,0,0,200000000
20240919173307,1,0,0,0,0,../datasets/books,alex,414982,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,374444,0,0,0,200000000
20240919173407,1,0,0,0,0,../datasets/books,alex,435770,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,189353,0,0,0,200000000
20240919173507,1,0,0,0,0,../datasets/books,alex,434506,100000000,4031432320,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,ex_mb_bbin,0,1449906,0,0,0,200000000
